en,ro
I don't believe in coincidences.,Nu cred în coincidențe.
The patriarchal system has always been more prevalent.,Sistemul patriarhal a fost întotdeauna mai răspândit.
How blue the sky is!,Cât de albastru este cerul!
Torture is against the law.,Tortura este împotriva legii.
My brother just went.,Fratele meu tocmai a plecat.
Two problems remained unsolved.,Două probleme au rămas nerezolvate.
You were late yesterday.,Ai întârziat ieri.
Don't touch my sandwich.,Nu-mi atinge sandvișul.
The boy captured the bird with a net.,Băiatul a capturat pasărea cu o plasă.
Tom's interested in archaeology.,Tom este interesat de arheologie.
The storm had a serious effect on the economy.,Furtuna a avut un efect serios asupra economiei.
Everyone loves him.,Toți îl iubesc.
Good morning!,Bună dimineața!
I wish I could skip this.,Aș vrea să pot sări peste asta.
You always astonish me with your unexpected arrivals.,Mă surprinzi mereu cu sosirile tale neaşteptate.
He is accustomed to the work.,El este obișnuit cu munca.
How did the meeting go?,Cum a mers întâlnirea?
Did anyone say anything?,A zis cineva ceva?
I'm roughly the same age as you.,Am aproape aceeași vârstă ca și tine.
I always think of him when I'm alone.,Întotdeauna mă gândesc la el când sunt singur.
The rain will stop soon.,Ploaia se oprește curând.
"In order to do that, you have to take risks.","Pentru a face asta, trebuie să-ți asumi riscuri."
Heaven forbid!,Doamne păzește!
"Despite their bulk and weight, hippos can swim rapidly.",Dacă luați la vrac este cu 20% mai ieftin.
Her answer couldn't be understood.,Răspunsul ei nu putea fi înţeles.
That's how it's done.,Așa se face asta.
The lake is big.,Lacul este mare.
I thought Tom was slow.,Credeam că Tom era lent.
When will the Japanese class start?,Când vor începe orele de japoneză?
He often comes late to school.,Întârzie des la şcoală.
"I would really like to help you, but my hands are tied.","Chiar aș vrea să vă ajut, dar am mâinile legate."
She is impatient.,Ea este nerăbdătoare.
"Notwithstanding the fact that on average women are more intelligent than men, most geniuses are men.","În ciuda faptului că, în medie, femeile sunt mai inteligente decât bărbații, majoritatea geniilor sunt bărbați."
"I used to be young and ambitious, just like you.","Am fost exact ca tine, tânăr și ambițios."
I don't want to be rude to her.,Nu vreau să fiu nepoliticos cu ea.
I think Boston is nicer than Chicago.,Cred că Boston este mai drăguț decât Chicago.
These gloves are Tom's.,Aceste mănuși sunt ale lui Tom.
I feel like he's grown cold toward me lately.,Mi se pare că s-a răcit faţă de mine în ultimul timp.
Don't get drunk.,Nu te îmbăta!
I did write to him.,I-am scris lui.
She's smart and ambitious.,Ea e deșteaptă și ambițioasă.
I stood my ground and got the contract I wanted.,M-am ţinut tare şi am primit contractul pe care îl doream.
One of the bullets struck McKinley in the stomach.,Unul dintre gloanțe l-a lovit pe McKinley în stomac.
I have a headache.,Mă doare capul.
Iron is a very useful metal.,Fierul este un metal foarte util.
It's likely Tom will be late.,Se pare că Tom va întârzia.
It snows hard.,Ninge din greu.
Hassan went to school.,Hassan a mers la școală.
Pleasure to meet you.,Mă bucur să te cunosc.
I like that lamp.,Îmi place acea lampă.
I like singing.,Îmi place să cânt.
"Without your help, I couldn't have ridden out that crisis.","Fără ajutorul tău, nu aş fi putut ieşi din această criză."
He was writing a report.,El scria un raport.
His idea is too abstract to be of practical use to us.,Ideea lui e prea abstractă pentru a fi folosită practic de către noi.
Marilyn Monroe's success did not make her happy.,Succesul nu a făcut-o fericită pe Marilyn Monroe.
It is snowing today.,Astăzi ninge.
I never saw a red fridge.,Nu am văzut niciodată un frigider roșu.
"Tom turned on the water faucet, but nothing came out.","Tom a pornit robinetul, dar nimic nu ieșea."
Tom might be biased.,Tom ar putea avea prejudecăți.
It's for a friend of mine.,Este pentru un prieten de-al meu.
We got lost while driving.,Ne-am rătăcit mergând cu mașina.
Tom knows what Mary said.,Tom știe ce a spus Mary.
I'm waiting for your help.,Aştept ajutorul tău.
Tom was realistic about it.,Tom a fost realist în legătură cu asta.
"You've invited your friends too, haven't you?","I-ați invitat și pe prietenii dumneavoastră, nu-i așa?"
It rarely snows here in the winter.,Aici ninge foarte rar iarna.
I cannot do anything else.,Nu pot face nimic altceva.
I have no time today. Come tomorrow!,N-am timp astăzi. Vino mâine!
"The check, please.","Nota de plată, vă rog."
There was a strong wind.,Era un vânt puternic.
He despises linguistic homogeneity.,El disprețuiește omogenitatea lingvistică.
He makes the most of his opportunities.,El profită cât mai mult de ocaziile ivite.
I tried to take our dog out of our house.,Am încercat să scot câinele afară din casă.
How can I say that in your language?,Cum pot să spun asta în limba ta?
"Actually, Tom doesn't have insurance.","De fapt, Tom nu are asigurare."
I wish I could take back what I said.,Aș vrea să nu fi spus ceea ce am zis.
Tom asked for a wake-up call.,Tom a cerut un apel de deşteptare.
Tom abandoned his plan to build a factory.,Tom a abandonat planul său de a construi o fabrică.
Large planes brought about large amounts of sound pollution.,Avioanele mari au adus o cantitate mare de poluare sonoră.
This is a type of experiment that you can do at home.,Acesta este un tip de experiment pe care îl puteți face acasă.
You seemed interested.,Păreai interesat.
Tom usually keeps things to himself.,Tom de obicei păstrează lucrurile pentru sine.
This is the house where I used to live when I was young.,Aceasta este casa în care am trăit când eram tânăr.
The DA wants me to testify against Tom.,Procurorul vrea să depun mărturie împotriva lui Tom.
It would be awesome!,Ar fi minunat!
I hope she's safe.,Sper că ea e în siguranță.
Betty can't tell right from wrong.,Betty nu poate deosebi binele de rău.
The temperature falls.,Temperatura scade.
I didn't listen.,Nu am ascultat.
Please lend me your car.,"Te rog, împrumută-mi mașina ta."
Isn't that adorable?,Nu este asta adorabilă?
Weren't you tired?,Nu ați fost obosite?
This book is worth every penny.,Această carte merită fiecare bănuț.
He reached out for the sugar that was on the table.,El s-a întins să ia zahărul care era pe masă.
The contradiction was obvious.,Contradicția era evidentă.
Eat!,Mănâncă!
Let's see what will happen.,Să vedem ce se va întâmpla.
I'm on a boat.,Sunt pe o barcă.
I'll be along in a few minutes.,Voi veni în câteva minute.
Better to be hated for who you are than loved for who you're not.,Mai bine să fii urât pentru cine ești decât iubit pentru cine nu ești.
You know something?,Știi ceva?
I can speak French a little.,Pot să vorbesc puțină franceză.
It's never been done before.,Nu a mai fost încercat niciodată.
We all find her behaviour abhorrent.,Cu toții i-am găsit comportamentul ca fiind dezgustător.
This car was made in Japan.,Acest automobil a fost fabricat în Japonia.
No one wanted to talk about it.,Nimeni nu a vrut să vorbească despre asta.
"If you shout from the top of a cliff, you can hear the echo of your voice.","Dacă strigi de pe vârful unei stânci, vei auzi ecoul propriei voci."
Are you serious?,Eşti serios?
It would take forever for me to explain everything.,Ar dura o veșnicie să explic tot.
You are cruel.,Ești crud.
"Tom sat there all alone, waiting for Mary.",Tom stătea acolo singur-singurel așteptând-o pe Mary.
Ania is interested in computers.,Ania este pasionată de calculatoare.
May we smoke during the break?,Avem voie să fumăm în timpul pauzei?
He made up his mind quickly.,El s-a decis repede.
Tom will likely be late.,Probabil Tom va întârzia.
I'll take him.,Îl voi lua.
Your database contains lots of redundancy.,Baza ta de date conține multe repetiții.
Eating fast food is bad for your health.,Mâncarea de fast-food nu este bună pentru sănătatea ta.
"You are not able to swim, are you?","Nu știi să înoți, nu-i așa?"
He is willing enough.,Are destulă voință.
Tom was caught shoplifting.,Tom a fost prins furând din magazin.
How do you know each other?,Cum de vă cunoașteți?
Call me sometime.,Sună-mă cândva.
Auldey is a Chinese brand.,Auldey este o marcă chinezească.
I believe you'll get over it soon.,Cred că vei trece peste asta în curând.
I want to live in Athens.,Vreau să locuiesc în Atena.
They look cute together.,Le stă bine împreună.
Who is behind the plot?,Cine e în spatele intrigii?
"Good morning, everyone.",Bună dimineața la toată lumea.
"""How do you feel?"" he inquired.",- Cum te simți? a întrebat el.
I didn't mean to deceive you.,Nu am vrut să te înșel.
"You don't know when Tom will come, do you?","Nu știi când va veni Tom, nu-i așa?"
How much candy did Tom eat?,Câte bomboane a mâncat Tom?
It doesn't matter what he said.,N-are importanță ce a spus el.
Jimmy is junior to me by two years.,Jimmy e cu doi ani mai mic ca mine.
Who hit the home run?,Cine a punctat?
Tom isn't too busy.,Tom nu este prea ocupat.
Tom has a lot of potential.,Tom are mult potențial.
"With his death, the oldest family in this village died out.","Odată cu decesul său, s-a stins cea mai în vârstă familie din acest sat."
I need to ask you a silly question.,Trebuie să vă pun o întrebare prostească.
I hope you know that fruit juice is fattening.,Sper că știi că sucul de fructe îngrașă.
Tom doesn't know where Mary went.,Tom nu știe unde a plecat Mary.
"If ""every rule has at least one exception"" is a rule, then at least one rule has no exception.","Dacă ""fiecare regulă are cel puțin o excepție este"" o regulă, atunci cel puțin o regulă nu are nicio excepție."
There were no bounds to his ambition.,Ambiția lui nu cunoaște limite.
Why didn't you come to ask me earlier?,De ce n-ai venit să mă întrebi mai devreme?
That's preposterous.,Este absurd.
I heard him sing a song.,L-am auzit cântând un cântec.
We need more medical care for infants.,Avem nevoie de mai multă îngrijire medicală pentru sugari.
I think I'm going to go now.,Cred că voi pleca acum.
Awesome!,Excelent!
We all need air and water to live.,Toți avem nevoie de aer și apă pentru a trăi.
Where is my suitcase?,Unde este valiza mea?
We all live in the same neighborhood.,Toți trăim în același cartier.
Tom is Mary's brother.,Tom este fratele lui Mary.
It was a week before Jane got over her cold.,A durat o săptămână ca Ioanei să-i treacă răceala.
Where is the woman?,Unde este femeia?
"I'd be unhappy, but I wouldn't kill myself.","Aș fi nefericit, dar nu m-aș sinucide."
He is sure of success.,El e sigur de succes.
I cannot account for what has happened.,Nu pot explica ceea ce s-a întâmplat.
That's really impressive.,Aceasta e cu adevarat impresionant.
"Let's play, little bro!","Hai să jucăm, frățioare!"
Do you intend to take part in the contest?,Intenționați să participați la concurs?
This summer we'll go to the mountains and to the sea.,Vara aceasta vom merge la munte și la mare.
You should know that I'm in love with Mary.,Trebuie să știi că o iubesc pe Mary.
I feel happy when I'm with you.,Mă simt fericită când sunt cu tine.
"At last, he solved the problem.","În sfârșit , a rezolvat problema."
I still think it's unlikely that he'll come today.,Încă cred că e puțin probabil ca el să vină azi.
Eat a lot of vegetables.,Mănâncă multe legume.
He let us go.,El ne-a lăsat să mergem.
I went to the zoo yesterday.,M-am dus ieri la grădina zoologică.
Tom started singing a song.,Tom a început să cânte o melodie.
"He has finished his work, hasn't he?","El şi-a terminat treaba, nu-i aşa?"
"Because of your advice, I was able to succeed.","Datorită sfatului dumneavoastră, am reuşit."
She went to see him the other day.,Ea s-a dus să-l vadă zilele trecute.
That looks somewhat dangerous.,Asta pare oarecum periculos.
"Since her father's death, she has gone through a lot of hardships.","De la moartea tatălui ei, ea a trecut prin multe greutăți."
